Year,REG,PROV,COM,landsize,Age,Seed,Microcredit,Roof,Wall,Extension,Education,Status,Membership,L_ownership,Gender,Restored_land,Land_age,Organic_fertilizer,yields,Literacy,Primary_school,Secondary_school,Land_ownership,Pest_cl,Agri_training,Agro1,Agro2,Agro3,NPK,Membership_crop,Membership_other,hhid
2015.0,BOUCLE DU MOUHOUN,KOSSI,2.0,0.5272,54.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,913.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,2.0,0.1038,46.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,15000.0,440.0,0.0,0.0,0.0,1.0,57.803467,0.0,0.0,1.0,0.0,0.0,0.0,0.0,914.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,2.0,0.7056,46.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,26.0,0.0,280.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,923.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,2.0,0.8073,51.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,925.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,0.7779,70.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,385.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,3.382,32.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,1200.0,0.0,0.0,0.0,1.0,2.95683,0.0,0.0,1.0,0.0,0.0,0.0,0.0,430.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,0.6309,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,1200.0,0.0,1.0,0.0,1.0,1.5850372,0.0,0.0,1.0,0.0,0.0,0.0,1.0,436.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,0.7676,45.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,442.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,3.5745,57.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1200.0,0.0,1.0,0.0,1.0,1.398797,0.0,0.0,1.0,0.0,0.0,0.0,0.0,458.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,3.0,2.0695,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,680.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,744.0
